TECH	2015_2020	2020_2025	2025_2030	2030_2035	2035_2040	2040_2045	2045_2050	
 NUCLEAR	 0.000000	 44065.647000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CCGT	 20023.000000	 0.000000	 248.485915	 0.000000	 0.000000	 0.000000	 0.000000	
 COAL_US	 1631.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 COAL_IGCC	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 PV	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 WIND_ONSHORE	 0.000000	 0.000000	 1873.550610	 512.917042	 721.774488	 0.000000	 0.000000	
 WIND_OFFSHORE	 73.409079	 0.000000	 686.730060	 181.669320	 236.642435	 0.000000	 0.000000	
 HYDRO_RIVER	 77.266323	 0.000000	 52.245818	 10.874630	 6.313750	 0.000000	 0.000000	
 GEOTHERMAL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 IND_COGEN_GAS	 3063.742480	 0.000000	 860.577115	 0.000000	 4274.412776	 817.904468	 480.490581	
 IND_COGEN_WOOD	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 IND_COGEN_WASTE	 2621.347120	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 IND_BOILER_GAS	 26985.973017	 1807.626698	 4934.832589	 3867.414885	 0.000000	 0.000000	 0.000000	
 IND_BOILER_WOOD	 0.000000	 3370.868951	 0.000000	 0.000000	 0.000000	 5217.503616	 0.000000	
 IND_BOILER_OIL	 19285.625240	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 IND_BOILER_COAL	 24621.939020	 0.000000	 0.000000	 0.000000	 0.000000	 1361.078674	 2586.429037	
 IND_BOILER_WASTE	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 592.679460	 7426.272435	
 IND_DIRECT_ELEC	 0.000000	 0.000000	 0.000000	 1366.120319	 0.000000	 0.000000	 0.000000	
 DHN_HP_ELEC	 0.000000	 0.000000	 0.000000	 0.000000	 3206.234483	 24645.321639	 0.000000	
 DHN_COGEN_GAS	 0.000000	 0.000000	 0.000000	 0.000000	 1809.363609	 0.000000	 0.000000	
 DHN_COGEN_WOOD	 0.000000	 0.000000	 0.000000	 0.000000	 760.638800	 0.000000	 0.000000	
 DHN_COGEN_WET_BIOMASS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DHN_COGEN_WASTE	 377.873254	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DHN_BOILER_GAS	 0.000000	 0.000000	 0.000000	 0.000000	 422.792907	 0.000000	 0.000000	
 DHN_BOILER_WOOD	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 31249.369733	
 DHN_BOILER_OIL	 0.000000	 0.000000	 0.000000	 0.000000	 19.825555	 0.000000	 0.000000	
 DHN_DEEP_GEO	 30.454002	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DHN_SOLAR	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_HP_ELEC	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_THHP_GAS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_COGEN_GAS	 0.000000	 0.000000	 406.391272	 547.929946	 0.000000	 0.000000	 0.000000	
 DEC_COGEN_OIL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_ADVCOGEN_GAS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_ADVCOGEN_H2	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_BOILER_GAS	 0.000000	 0.000000	 21121.756961	 32567.744576	 979.471113	 0.000000	 0.000000	
 DEC_BOILER_WOOD	 0.000000	 245.831577	 4389.442912	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_BOILER_OIL	 34370.233201	 32868.917391	 7197.904437	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_SOLAR	 0.000000	 0.000000	 0.000000	 0.000000	 25917.390876	 8470.322861	 1866.277180	
 DEC_DIRECT_ELEC	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 TRAMWAY_TROLLEY	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 BUS_COACH_DIESEL	 0.000000	 0.000000	 10100.000000	 44260.800000	 0.000000	 0.000000	 48500.000000	
 BUS_COACH_HYDIESEL	 0.000000	 0.000000	 0.000000	 0.000000	 48500.000000	 0.000000	 0.000000	
 BUS_COACH_CNG_STOICH	 0.000000	 0.000000	 0.000000	 3160.000000	 0.000000	 48500.000000	 0.000000	
 BUS_COACH_FC_HYBRIDH2	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 TRAIN_PUB	 0.000000	 0.000000	 0.000000	 1079.200000	 0.000000	 0.000000	 0.000000	
 CAR_GASOLINE	 25280.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CAR_DIESEL	 12956.000000	 48500.000000	 38400.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CAR_NG	 1264.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CAR_HEV	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CAR_PHEV	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CAR_BEV	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CAR_FUEL_CELL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 TRAIN_FREIGHT	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 24500.000000	
 BOAT_FREIGHT_DIESEL	 0.000000	 0.000000	 17518.000000	 24500.000000	 0.000000	 0.000000	 0.000000	
 BOAT_FREIGHT_NG	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 24500.000000	 0.000000	
 TRUCK_DIESEL	 16500.000000	 24500.000000	 2039.854000	 0.000000	 0.000000	 0.000000	 0.000000	
 TRUCK_FUEL_CELL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 TRUCK_NG	 0.000000	 0.000000	 4942.146000	 0.000000	 24500.000000	 0.000000	 0.000000	
 NON_ENERGY_OIL	 84654.960000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 NON_ENERGY_NG	 0.000000	 0.000000	 0.000000	 -0.000000	 -0.000000	 -0.000000	 0.000000	
 TS_DHN_SEASONAL	 0.000000	 0.000000	 7735765.629979	 0.000000	 70578470.787749	 0.000000	 4728178.550866	
 SEASONAL_NG	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 -0.000000	
 SEASONAL_H2	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CO2_STORAGE	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 EFFICIENCY	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DHN	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 GRID	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 H2_ELECTROLYSIS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 H2_NG	 0.000000	 0.000000	 186.127926	 2778.904110	 0.000000	 0.000000	 0.000000	
 H2_BIOMASS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 GASIFICATION_SNG	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 PYROLYSIS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 ATM_CCS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 INDUSTRY_CCS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 SYN_METHANATION	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 BIOMETHANATION	 0.000000	 3842.920463	 6480.303455	 0.000000	 0.000000	 0.000000	 0.000000	
