TECH	2015_2020	2020_2025	2025_2030	2030_2035	2035_2040	2040_2045	2045_2050	
 NUCLEAR	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CCGT	 0.000000	 0.000000	 0.000000	 0.000000	 3.925000	 0.000000	 0.000000	
 COAL_US	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.470000	
 COAL_IGCC	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 PV	 0.000000	 0.000000	 0.000000	 0.000000	 3.846000	 131.006230	 123.047737	
 WIND_ONSHORE	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 1.250000	 8.750000	
 WIND_OFFSHORE	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.712000	 0.000000	
 HYDRO_RIVER	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 GEOTHERMAL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 IND_COGEN_GAS	 0.000000	 0.000000	 0.000000	 0.000000	 2.603659	 0.000000	 1.434409	
 IND_COGEN_WOOD	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 IND_COGEN_WASTE	 0.000000	 0.000000	 0.000000	 0.000000	 0.353000	 0.000000	 0.000000	
 IND_BOILER_GAS	 0.000000	 0.000000	 4.692000	 0.000000	 0.000000	 2.496919	 0.000000	
 IND_BOILER_WOOD	 0.000000	 0.000000	 0.000000	 1.305582	 1.422220	 0.000000	 0.999353	
 IND_BOILER_OIL	 0.000000	 0.000000	 2.318000	 0.000000	 0.000000	 0.000000	 0.000000	
 IND_BOILER_COAL	 0.000000	 0.000000	 3.124000	 0.000000	 0.000000	 0.000000	 1.205680	
 IND_BOILER_WASTE	 0.000000	 0.000000	 0.000000	 1.587659	 0.529374	 0.275130	 3.286180	
 IND_DIRECT_ELEC	 0.000000	 0.000000	 0.000000	 6.737368	 0.571481	 0.000000	 5.354420	
 DHN_HP_ELEC	 0.000000	 0.000000	 0.000000	 0.000000	 0.043000	 0.000000	 3.810327	
 DHN_COGEN_GAS	 0.000000	 0.000000	 0.000000	 0.000000	 0.316000	 0.000000	 0.000000	
 DHN_COGEN_WOOD	 0.000000	 0.000000	 0.000000	 0.000000	 0.363000	 0.000000	 0.000000	
 DHN_COGEN_WET_BIOMASS	 0.000000	 0.000000	 0.000000	 0.000000	 0.008000	 0.000000	 0.434457	
