TECH	YEAR_2015	YEAR_2020	YEAR_2025	YEAR_2030	YEAR_2035	YEAR_2040	YEAR_2045	YEAR_2050	
 NUCLEAR	 5.925000	 5.925000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CCGT	 3.925000	 3.925000	 3.925000	 3.925000	 3.925000	 0.000000	 0.000000	 0.000000	
 COAL_US	 0.470000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 COAL_IGCC	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 PV	 3.846000	 134.852230	 257.899967	 402.695474	 530.145650	 645.532213	 678.196281	 704.000951	
 WIND_ONSHORE	 1.250000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	
 WIND_OFFSHORE	 0.712000	 0.712000	 3.500000	 3.500000	 3.500000	 3.500000	 3.500000	 3.500000	
 HYDRO_RIVER	 0.230000	 0.165000	 0.165000	 0.165000	 0.165000	 0.165000	 0.165000	 0.165000	
 GEOTHERMAL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 IND_COGEN_GAS	 2.603659	 2.603659	 4.399022	 4.399022	 5.845459	 3.454866	 3.093912	 2.791887	
 IND_COGEN_WOOD	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 IND_COGEN_WASTE	 0.353000	 0.353000	 0.353000	 0.353000	 0.353000	 0.000000	 0.000000	 0.000000	
 IND_BOILER_GAS	 4.692000	 4.692000	 5.339728	 3.144647	 2.496919	 2.496919	 1.580624	 5.084070	
 IND_BOILER_WOOD	 0.000000	 1.305582	 2.727802	 2.727802	 2.421573	 1.843113	 2.369180	 4.084346	
 IND_BOILER_OIL	 2.318000	 2.318000	 2.318000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 IND_BOILER_COAL	 3.124000	 3.124000	 3.124000	 0.000000	 1.205680	 1.951937	 2.054032	 0.848351	
 IND_BOILER_WASTE	 0.000000	 1.587659	 2.117032	 2.392163	 4.090683	 3.740346	 3.465216	 0.023022	
 IND_DIRECT_ELEC	 0.000000	 6.737368	 7.308849	 7.308849	 6.397678	 7.456761	 6.984983	 6.609609	
 DHN_HP_ELEC	 0.043000	 0.558827	 8.689345	 8.689345	 8.689345	 4.687075	 3.810327	 4.214392	
 DHN_COGEN_GAS	 0.316000	 0.628251	 0.697343	 0.697343	 0.382987	 0.000000	 0.000000	 0.000000	
 DHN_COGEN_WOOD	 0.363000	 0.363000	 0.363000	 0.363000	 0.363000	 0.000000	 0.000000	 0.000000	
 DHN_COGEN_WET_BIOMASS	 0.008000	 0.013867	 0.462067	 0.898326	 0.878717	 0.870717	 0.870717	 0.870717	
 DHN_COGEN_WASTE	 0.051000	 0.051000	 0.051000	 0.051000	 0.051000	 0.000000	 0.000000	 0.000000	
 DHN_BOILER_GAS	 0.329000	 0.329000	 0.587212	 0.568270	 0.587212	 0.329000	 0.018942	 0.000000	
 DHN_BOILER_WOOD	 0.000000	 0.000000	 2.180465	 2.180465	 2.180465	 0.803386	 1.819255	 1.819255	
 DHN_BOILER_OIL	 0.124000	 0.210472	 2.477390	 6.323914	 6.622565	 13.065113	 13.245049	 12.859927	
 DHN_DEEP_GEO	 0.009000	 0.009000	 0.009000	 0.009000	 0.009000	 0.009000	 0.000000	 0.000000	
 DHN_SOLAR	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_HP_ELEC	 0.659213	 0.659213	 0.659213	 10.183852	 30.316187	 31.320012	 31.320012	 31.776329	
 DEC_THHP_GAS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_COGEN_GAS	 0.486417	 0.486417	 0.486417	 0.486417	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_COGEN_OIL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_ADVCOGEN_GAS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_ADVCOGEN_H2	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_BOILER_GAS	 24.007006	 24.007006	 28.559793	 20.304330	 1.015656	 0.000000	 0.000000	 0.000000	
 DEC_BOILER_WOOD	 1.868191	 1.868191	 1.868191	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_BOILER_OIL	 28.986503	 28.986503	 28.986503	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_SOLAR	 36.420608	 36.420608	 36.420608	 45.600596	 38.651726	 38.651726	 38.651726	 29.471739	
 DEC_DIRECT_ELEC	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 TRAMWAY_TROLLEY	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	
 BUS_COACH_DIESEL	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	
 BUS_COACH_HYDIESEL	 0.000000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	
 BUS_COACH_CNG_STOICH	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	
 BUS_COACH_FC_HYBRIDH2	 0.000000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	
 TRAIN_PUB	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	
 CAR_GASOLINE	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	
 CAR_DIESEL	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	
 CAR_NG	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	
 CAR_HEV	 0.000000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	
 CAR_PHEV	 0.000000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	
 CAR_BEV	 0.000000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	
 CAR_FUEL_CELL	 0.000000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	 16.700000	
 TRAIN_FREIGHT	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	
 BOAT_FREIGHT_DIESEL	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	
 BOAT_FREIGHT_NG	 0.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	
 TRUCK_DIESEL	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	
 TRUCK_FUEL_CELL	 0.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	
 TRUCK_NG	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	 10.000000	
 NON_ENERGY_OIL	 100.000000	 100.000000	 100.000000	 100.000000	 100.000000	 100.000000	 100.000000	 100.000000	
 NON_ENERGY_NG	 100.000000	 100.000000	 100.000000	 100.000000	 100.000000	 100.000000	 100.000000	 100.000000	
 TS_DHN_SEASONAL	 31727.359714	 31727.359714	 31727.359714	 34847.225551	 34847.225551	 26446.331605	 27041.007864	 27041.007864	
 SEASONAL_NG	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 507.586293	 507.586293	
 SEASONAL_H2	 0.000000	 0.000000	 0.000000	 0.000000	 3050.068539	 3050.068539	 3939.317854	 3939.317854	
 CO2_STORAGE	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 1414.664675	 2266.650205	 3558.185554	
 EFFICIENCY	 0.985222	 0.985222	 0.985222	 0.985222	 0.985222	 0.985222	 0.985222	 0.985222	
 DHN	 1.243000	 2.163417	 15.516822	 19.780662	 19.764290	 19.764290	 19.764290	 19.764290	
 GRID	 1.001552	 1.038909	 1.072545	 1.111249	 1.145316	 1.176159	 1.184890	 1.191787	
 H2_ELECTROLYSIS	 0.000000	 3.301961	 11.371589	 16.480159	 17.333980	 17.228086	 17.813079	 17.813079	
 H2_NG	 0.000000	 0.000000	 1.059304	 1.258562	 0.000000	 0.000000	 0.000000	 0.000000	
 H2_BIOMASS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 GASIFICATION_SNG	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 PYROLYSIS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 ATM_CCS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 INDUSTRY_CCS	 0.000000	 0.505632	 1.772424	 2.616212	 2.616212	 2.310167	 2.215104	 2.215104	
 SYN_METHANATION	 0.000000	 2.298326	 8.056473	 11.891873	 11.891873	 11.891873	 11.891873	 11.891873	
