Name	C_inv	C_maint	C_op
NUCLEAR	729.070126	609.866092	0.000000
CCGT	146.241531	77.441474	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	6508.434379	1132.758731	0.000000
WIND_ONSHORE	605.755653	126.000000	0.000000
WIND_OFFSHORE	68.841800	24.386000	0.000000
HYDRO_RIVER	27.825114	8.323392	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	176.935824	241.129194	0.000000
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	49.882081	39.296414	0.000000
IND_BOILER_GAS	18.535310	5.536024	0.000000
IND_BOILER_WOOD	10.087177	3.007522	0.000000
IND_BOILER_OIL	8.529490	2.734975	0.000000
IND_BOILER_COAL	24.136616	7.196404	0.000000
IND_BOILER_WASTE	12.266553	3.657309	0.000000
IND_DIRECT_ELEC	167.809614	10.157470	0.000000
DHN_HP_ELEC	9.298515	6.703412	0.000000
DHN_COGEN_GAS	38.038117	23.579277	0.000000
DHN_COGEN_WOOD	18.935116	14.698118	0.000000
DHN_COGEN_WET_BIOMASS	2.325017	2.995241	0.000000
DHN_COGEN_WASTE	7.206760	5.677386	0.000000
DHN_BOILER_GAS	1.299684	0.388182	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.774468	0.248333	0.000000
DHN_DEEP_GEO	0.562129	0.252000	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	20.696024	13.876879	0.000000
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	39.892054	45.047913	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	255.302583	114.201322	0.000000
DEC_BOILER_WOOD	57.951909	30.229739	0.000000
DEC_BOILER_OIL	276.848707	247.548375	0.000000
DEC_SOLAR	1525.405876	294.666221	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000000	0.000000	0.000000
CAR_BEV	0.000000	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
NON_ENERGY_OIL	0.000000	0.000000	0.000000
NON_ENERGY_NG	0.000000	0.000000	0.000000
TS_DHN_SEASONAL	826.886860	95.182079	0.000000
SEASONAL_NG	0.000000	0.000000	0.000000
SEASONAL_H2	0.000000	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000	0.000000
EFFICIENCY	185.672478	0.000000	0.000000
DHN	45.371155	0.000000	0.000000
GRID	1280.860057	0.000000	0.000000
H2_ELECTROLYSIS	76.115995	101.572622	0.000000
H2_NG	0.000000	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000000
PYROLYSIS	0.000000	0.000000	0.000000
ATM_CCS	0.000000	0.000000	0.000000
INDUSTRY_CCS	43.606659	32.764941	0.000000
SYN_METHANATION	145.048223	171.455148	0.000000
BIOMETHANATION	134.130049	19.409768	0.000000
ELECTRICITY	0.000000	0.000000	0.000000
GASOLINE	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	4122.289626
BIOETHANOL	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	2675.946907
NG	0.000000	0.000000	7432.449159
SNG	0.000000	0.000000	0.000000
WOOD	0.000000	0.000000	461.138400
WET_BIOMASS	0.000000	0.000000	297.835200
COAL	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	461.671273
WASTE	0.000000	0.000000	261.072000
H2	0.000000	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
